"sentence_id","condition","all_exposures","mean_surprisal"
2,"WH",0.525644171779141,8.52815577983856
3,"SUBJ",0.441975683890578,7.65132730007172
4,"POLAR",0.941880341880342,7.18485305859492
6,"WH",0.479454022988506,8.7672830581665
7,"SUBJ",0.415727848101266,8.074327592055
8,"POLAR",0.935068493150685,6.70797724448718
10,"WH",0.536604361370717,9.45497314929962
11,"SUBJ",0.513146417445483,8.72307184835275
12,"POLAR",0.936342857142857,7.21239694754283
14,"WH",0.505701492537313,8.50403089956804
15,"SUBJ",0.279466292134831,6.8766304731369
16,"POLAR",0.898633879781421,7.23587431226458
18,"WH",0.476134969325153,8.15188260511919
19,"SUBJ",0.429265536723164,7.06578670931049
20,"POLAR",0.931,6.81727198671017
22,"WH",0.522679738562091,8.80332503318787
24,"POLAR",0.930903790087464,6.76546471459525
26,"WH",0.517729885057471,8.70208126848394
27,"SUBJ",0.334603658536585,6.63406962156296
28,"POLAR",0.919673913043478,6.75933225552241
30,"WH",0.473863636363636,9.82110777199268
31,"SUBJ",0.414023668639053,8.08850067574531
32,"POLAR",0.919831460674157,8.50528794513749
34,"WH",0.572877492877493,7.83603578805923
35,"SUBJ",0.454184615384615,7.859244456658
36,"POLAR",0.904438502673797,5.81615330892451
38,"WH",0.485109034267913,7.20831642832075
40,"POLAR",0.936450704225352,6.01010990142822
42,"WH",0.505780346820809,10.0697458744049
43,"SUBJ",0.418625,8.92953745524088
44,"POLAR",0.934942857142857,8.59357314270276
46,"WH",0.509432835820895,7.67131005922953
47,"SUBJ",0.488932926829268,7.04036785289645
48,"POLAR",0.880642458100559,6.15551756620407
50,"WH",0.499427710843374,9.66033046245575
51,"SUBJ",0.345920245398773,9.03909589694097
52,"POLAR",0.898977272727273,7.5492969751358
54,"WH",0.529538461538462,8.47943623860677
55,"SUBJ",0.401572700296736,7.39559015962813
56,"POLAR",0.937073863636364,7.24934819340706
58,"WH",0.530730994152047,8.42084897930423
59,"SUBJ",0.371258503401361,6.43249504268169
60,"POLAR",0.91597667638484,7.61260928027332
62,"WH",0.572684365781711,8.96552447477976
63,"SUBJ",0.322212121212121,7.53403705709121
64,"POLAR",0.897717391304348,7.58676873936373
66,"WH",0.525416666666667,9.23894457817078
67,"SUBJ",0.38533950617284,7.61182562112808
68,"POLAR",0.930523255813953,6.750954246521
70,"WH",0.475994065281899,8.59035030236611
71,"SUBJ",0.447094801223242,8.51224812177511
72,"POLAR",0.938551532033426,7.77330423678671
74,"WH",0.449652173913043,7.67677625815074
75,"SUBJ",0.334767801857585,8.28078523703984
76,"POLAR",0.863468834688347,7.35318208113313
78,"WH",0.591713395638629,7.39493532975515
79,"SUBJ",0.37,7.07085157843197
80,"POLAR",0.938230337078652,5.92686930252239
82,"WH",0.541487603305785,8.25638369719187
83,"SUBJ",0.47794952681388,6.91344585021337
84,"POLAR",0.939232954545455,6.24207215274081
86,"WH",0.541333333333333,8.8377637646415
87,"SUBJ",0.4932,7.59135858446825
88,"POLAR",0.920420168067227,8.004361265472
181,"FILL",0.907426614481409,7.84978431463242
182,"FILL",0.912480392156863,8.44498628836412
183,"FILL",0.885683673469388,7.3786239343531
184,"FILL",0.893069105691057,6.18378043742407
185,"FILL",0.828733798604187,7.68217789668303
186,"FILL",0.889891838741396,6.25999382664176
187,"FILL",0.866566037735849,7.83904556717191
188,"FILL",0.895054401582592,7.53708628507761
189,"FILL",0.885004840271055,7.09955241731726
190,"FILL",0.94215250965251,5.84356532432139
191,"FILL",0.84905534351145,7.12719877560933
197,"UNGRAM",0.0351176470588235,12.8053541183472
198,"UNGRAM",0.043841059602649,10.1454684165391
199,"UNGRAM",0.0449367088607595,12.6800636144785
200,"UNGRAM",0.0380324737344795,11.8015857934952
201,"UNGRAM",0.0418666666666667,13.1248305944296
202,"UNGRAM",0.0330388349514563,13.3440468982328
203,"UNGRAM",0.0360575968222443,13.3661535024643
204,"UNGRAM",0.0356175298804781,12.5913958182702
205,"UNGRAM",0.0479420289855072,11.9748612471989
206,"UNGRAM",0.0397148676171079,13.2175031979879
207,"UNGRAM",0.0363592233009709,12.1243681907654
0,"CNPC",0.462058823529412,8.07229878505071
5,"SUBJ",0.474623655913978,8.074327592055
7,"WH",0.620769230769231,9.45497314929962
9,"CNPC",0.467647058823529,7.92237617419316
14,"SUBJ",0.466344086021505,7.06578670931049
16,"WH",0.632051282051282,8.80332503318787
18,"CNPC",0.484019607843137,7.80285890285785
23,"SUBJ",0.478817204301075,8.08850067574531
25,"WH",0.530384615384615,8.4150707523028
27,"CNPC",0.492647058823529,6.80247931182384
32,"SUBJ",0.476451612903226,8.92953745524088
34,"WH",0.601666666666667,7.67131005922953
36,"CNPC",0.435980392156863,8.47237712144852
41,"SUBJ",0.46989247311828,7.39559015962813
43,"WH",0.653333333333333,8.42084897930423
45,"CNPC",0.519411764705882,8.25185785974775
50,"SUBJ",0.436774193548387,7.61182562112808
52,"WH",0.627820512820513,8.59035030236611
54,"CNPC",0.487647058823529,7.01618494799263
59,"SUBJ",0.475376344086022,7.07085157843197
61,"WH",0.647435897435897,8.25638369719187
63,"CNPC",0.444607843137255,8.12230653029222
68,"SUBJ",0.588387096774194,7.64745001494884
70,"WH",0.617051282051282,8.40145784157973
72,"CNPC",0.504803921568627,7.80010263621807
77,"SUBJ",0.530215053763441,8.47570652621133
79,"WH",0.626923076923077,8.35309866299996
81,"CNPC",0.544019607843137,6.03054839764771
86,"SUBJ",0.51258064516129,8.85116141117536
88,"WH",0.618076923076923,8.31578351184726
90,"CNPC",0.45421568627451,7.61376157753608
95,"SUBJ",0.490752688172043,6.19688129425049
97,"WH",0.571538461538462,8.48827234974929
99,"CNPC",0.569705882352941,8.55892960464253
104,"SUBJ",0.394301075268817,7.45937019586563
106,"WH",0.646923076923077,8.09690557993375
108,"CNPC",0.439901960784314,8.43434926215559
113,"SUBJ",0.355698924731183,9.23986616251724
115,"WH",0.636410256410256,10.2362169265747
117,"CNPC",0.441960784313725,7.61279467493296
122,"SUBJ",0.417634408602151,7.86725140895162
124,"WH",0.598846153846154,7.87278616002628
126,"CNPC",0.471078431372549,8.1998071372509
131,"SUBJ",0.406989247311828,8.27026738439288
133,"WH",0.619615384615385,9.01426161419262
135,"FILL",0.955677655677656,7.84978431463242
136,"FILL",0.960989010989011,8.44498628836412
137,"FILL",0.957216117216117,7.3786239343531
138,"FILL",0.952820512820513,6.18378043742407
139,"FILL",0.947252747252747,7.68217789668303
140,"FILL",0.955091575091575,8.2717168348677
141,"FILL",0.953553113553114,7.83904556717191
142,"FILL",0.965750915750916,7.53708628507761
143,"FILL",0.953333333333333,7.09955241731726
144,"FILL",0.964468864468864,5.84356532432139
145,"FILL",0.946043956043956,7.12719877560933
146,"FILL",0.930805860805861,7.09739891971861
147,"FILL",0.945457875457875,6.27411998169763
148,"FILL",0.935934065934066,6.73758957386017
149,"FILL",0.938388278388278,8.44648518732616
180,"UNGRAM",0.0321245421245421,12.8053541183472
181,"UNGRAM",0.0372161172161172,10.1454684165391
182,"UNGRAM",0.0317948717948718,12.6800636144785
183,"UNGRAM",0.0361172161172161,11.8015857934952
184,"UNGRAM",0.0337728937728938,13.1248305944296
185,"UNGRAM",0.0353113553113553,13.3440468982328
186,"UNGRAM",0.0365567765567766,13.3661535024643
187,"UNGRAM",0.0280586080586081,12.5913958182702
188,"UNGRAM",0.0341758241758242,11.9748612471989
189,"UNGRAM",0.0316849816849817,13.2175031979879
190,"UNGRAM",0.0335531135531136,12.1243681907654
191,"UNGRAM",0.0358608058608059,10.5557518303394
192,"UNGRAM",0.0379120879120879,14.0456086072055
193,"UNGRAM",0.0336630036630037,10.9135658465899
194,"UNGRAM",0.0387545787545788,12.310028553009
