"sentence_id","condition"
0,"CNPC"
5,"SUBJ"
7,"WH"
9,"CNPC"
14,"SUBJ"
16,"WH"
18,"CNPC"
23,"SUBJ"
25,"WH"
27,"CNPC"
32,"SUBJ"
34,"WH"
36,"CNPC"
41,"SUBJ"
43,"WH"
45,"CNPC"
50,"SUBJ"
52,"WH"
54,"CNPC"
59,"SUBJ"
61,"WH"
63,"CNPC"
68,"SUBJ"
70,"WH"
72,"CNPC"
77,"SUBJ"
79,"WH"
81,"CNPC"
86,"SUBJ"
88,"WH"
90,"CNPC"
95,"SUBJ"
97,"WH"
99,"CNPC"
104,"SUBJ"
106,"WH"
108,"CNPC"
113,"SUBJ"
115,"WH"
117,"CNPC"
122,"SUBJ"
124,"WH"
126,"CNPC"
131,"SUBJ"
133,"WH"
135,"FILL"
136,"FILL"
137,"FILL"
138,"FILL"
139,"FILL"
140,"FILL"
141,"FILL"
142,"FILL"
143,"FILL"
144,"FILL"
145,"FILL"
146,"FILL"
147,"FILL"
148,"FILL"
149,"FILL"
180,"UNGRAM"
181,"UNGRAM"
182,"UNGRAM"
183,"UNGRAM"
184,"UNGRAM"
185,"UNGRAM"
186,"UNGRAM"
187,"UNGRAM"
188,"UNGRAM"
189,"UNGRAM"
190,"UNGRAM"
191,"UNGRAM"
192,"UNGRAM"
193,"UNGRAM"
194,"UNGRAM"
