"sentence_id","mean_surprisal"
2,8.528155779838562
3,7.651327300071716
4,7.184853058594924
5,7.955761909484863
6,8.767283058166504
7,8.074327592055003
8,6.707977244487176
9,8.997162540753683
10,9.454973149299622
11,8.72307184835275
12,7.2123969475428265
13,7.922376174193162
14,8.504030899568038
15,6.876630473136902
16,7.235874312264579
17,7.241335978874793
18,8.151882605119185
19,7.065786709310487
20,6.817271986710174
21,7.568102737267812
22,8.803325033187866
23,6.960288388388498
24,6.765464714595249
25,7.802858902857854
26,8.702081268483942
27,6.634069621562958
28,6.75933225552241
29,8.79717478614587
30,11.842305612564086
31,8.088500675745308
32,8.505287945137493
33,7.660782591501872
34,7.836035788059235
35,7.859244456657996
36,5.816153308924506
37,6.802479311823845
38,7.208316428320749
39,6.787303328514099
40,6.010109901428223
41,9.031582434972128
42,10.069745874404907
43,8.929537455240885
44,8.593573142702763
45,6.933395483914544
46,7.6713100592295325
47,7.040367852896452
48,6.155517566204071
49,8.472377121448517
50,9.66033046245575
51,9.039095896940966
52,7.549296975135803
53,7.880136353628976
54,8.479436238606771
55,7.395590159628126
56,7.249348193407059
57,7.261421726218292
58,8.420848979304234
59,6.432495042681694
60,7.612609280273318
61,8.25185785974775
62,8.965524474779764
63,7.534037057091208
64,7.586768739363727
65,8.609480559825897
66,9.238944578170777
67,7.611825621128082
68,6.750954246520996
69,8.010907276471455
70,8.59035030236611
71,8.512248121775114
72,7.773304236786706
73,7.953232354239414
74,7.676776258150737
75,8.280785237039838
76,7.353182081133127
77,7.3772571086883545
78,7.394935329755147
79,7.070851578431971
80,5.926869302522391
81,7.776139344487872
82,8.256383697191874
83,6.913445850213368
84,6.242072152740815
85,8.122306530292217
86,8.837763764641501
87,7.591358584468253
88,8.004361265472003
89,7.515153628129226
90,8.363759994506836
91,7.647450014948845
92,6.5483463151114325
93,7.330056651433309
94,8.401457841579731
95,8.291599071942843
96,7.588214601789202
97,7.800102636218071
98,8.751205035618373
99,7.783425681731281
100,7.9290379355935485
101,8.136849149068196
102,8.731539983015795
103,8.47570652621133
104,7.858628390090806
105,7.353140386442344
106,8.35309866299996
107,7.8882815797741594
108,7.27843147287002
109,6.030548397647707
110,6.47117730186266
111,7.516418785788119
112,6.025124399977572
113,7.663539158446448
114,8.47653012474378
115,8.851161411175362
116,7.813821815527403
117,8.007596363313496
118,8.315783511847258
119,7.383796901575157
120,7.251777470111847
121,7.3942688396748375
122,7.798983174562454
123,7.494079142808914
124,6.8248669873265655
125,7.315674385854176
126,8.130698228875795
127,6.196881294250488
128,6.306602777913213
129,7.9164678156375885
130,8.488272349749293
131,7.815744917063664
132,6.989144707561031
133,8.55892960464253
134,9.278322426478068
135,7.494489988859962
136,7.615275737486388
137,7.949863782295814
138,8.221559936350042
139,7.459370195865631
140,6.613659191131592
141,7.8680620193481445
142,8.096905579933754
143,7.4763561110747485
144,7.147621644867791
145,8.434349262155592
146,8.997365621849895
147,7.566251356403033
148,7.538665921051199
149,8.159961650476736
150,8.702946161230406
151,9.239866162517242
152,8.520708576170728
153,8.969224420686563
154,10.236216926574707
155,7.302545047799746
156,7.236673465796879
157,7.612794674932957
158,7.936910291703848
159,7.917299619210618
160,6.740543297358921
161,7.7376065413157145
162,8.172346408550556
163,7.867251408951623
164,7.231624539693197
165,7.604902965947986
166,7.872786160026278
167,8.052606399242695
168,6.947559477885564
169,8.1998071372509
170,8.607330007212502
171,9.069374616656985
172,8.349727328618368
173,7.6051352843642235
174,8.954913105283465
175,8.270267384392875
176,7.338407262166341
177,8.155035770856417
178,11.338766032999212
179,7.404160983860493
180,7.7244616736258775
181,7.849784314632416
182,8.444986288364117
183,7.378623934353099
184,6.183780437424069
185,7.682177896683033
186,6.259993826641756
187,7.839045567171914
188,7.537086285077608
189,7.099552417317262
190,5.843565324321389
191,7.127198775609334
192,6.5776457616261075
193,6.274119981697628
194,6.737589573860168
195,8.446485187326159
196,6.148898910073673
197,12.805354118347168
198,10.145468416539105
199,12.680063614478478
200,11.801585793495178
201,13.124830594429604
202,13.344046898232772
203,13.366153502464295
204,12.59139581827017
205,11.974861247198922
206,13.217503197987874
207,12.12436819076538
208,10.555751830339432
209,14.045608607205478
210,10.913565846589895
211,12.310028553009033
212,13.113813840425932
